Station Name: DUBLIN AIRPORT
Station Height: 71 M 
Latitude:53.428  ,Longitude: -6.241


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1950,10,9.8,18.2,0.8,12.8,6.8,78.4,-2.9,11.0,48,113.1
1950,11,5.3,12.1,-3.4,8.5,2.2,50.9,-6.3,11.0,47,87.2
1950,12,2.2,10.7,-5.1,4.5,-0.1,62.3,-6.2,10.7,42,52.6
1951,1,4.3,12.7,-4.6,7.1,1.5,69.5,-8.2,11.7,54,69.1
1951,2,3.2,12.4,-5.2,6.5,-0.1,60.4,-7.8,11.4,48,109.1
1951,3,4.4,14.0,-3.9,7.5,1.3,85.9,-8.5,11.1,52,94.2
1951,4,6.1,17.2,-1.2,10.2,2.0,28.6,-2.8,12.7,48,206.4
1951,5,8.8,18.1,1.3,12.1,5.5,52.8,-2.2,11.9,41,201.8
1951,6,12.9,22.2,5.6,17.2,8.6,22.9,0.4,8.6,42,240.2
1951,7,15.0,22.8,5.6,19.2,10.8,47.9,2.8,9.2,32,161.2
1951,8,13.8,22.0,5.1,17.6,10.0,83.3,3.8,9.8,40,143.4
1951,9,13.4,20.2,6.3,16.8,9.9,71.4,4.1,9.7,48,102.8
1951,10,10.8,20.6,-0.2,13.7,7.9,13.8,-1.7,9.7,43,103.8
1951,11,7.6,13.7,-1.3,10.6,4.7,125.6,-3.3,12.4,57,52.1
1951,12,5.6,13.8,-1.5,8.7,2.6,81.3,-5.5,13.1,59,57.8
1952,1,3.0,11.3,-5.1,5.9,-0.0,87.0,-6.6,12.3,52,78.0
1952,2,4.1,10.3,-3.9,7.2,1.0,14.1,-7.2,9.2,36,84.4
1952,3,6.9,14.3,-1.7,9.9,4.0,31.1,-3.9,11.1,44,115.2
1952,4,8.6,17.1,-2.1,12.5,4.8,39.0,-4.2,9.4,45,180.7
1952,5,11.7,20.8,4.2,15.5,7.8,54.3,1.6,8.5,39,197.0
1952,6,13.1,23.7,2.6,17.3,8.8,39.2,1.3,10.0,38,177.4
1952,7,15.5,23.6,5.7,19.4,11.5,28.7,4.4,9.7,40,142.8
1952,8,14.9,22.3,8.2,18.7,11.1,98.4,5.1,8.7,39,149.8
1952,9,10.5,19.4,0.6,14.2,6.8,61.1,-1.1,11.6,54,138.0
1952,10,9.2,15.1,1.3,12.2,6.1,85.5,-3.5,13.0,60,127.7
1952,11,5.6,14.9,-3.2,8.2,3.1,88.8,-6.1,11.8,56,59.6
1952,12,4.5,12.3,-3.1,7.3,1.7,50.0,-7.8,11.9,50,59.9
1953,1,5.2,11.2,-3.2,7.8,2.5,15.8,-5.9,9.7,48,57.2
1953,2,5.7,15.0,-2.8,8.4,2.9,44.8,-7.1,11.6,44,61.9
1953,3,5.7,17.6,-3.1,9.4,2.1,9.3,-6.3,7.2,51,116.2
1953,4,6.7,18.4,-0.2,10.6,2.8,65.5,-4.0,10.3,45,184.1
1953,5,11.9,20.2,0.8,16.0,7.8,50.9,-1.6,9.7,40,228.9
1953,6,13.4,23.4,3.9,17.2,9.6,38.6,0.6,7.7,41,189.3
1953,7,14.7,21.4,8.2,18.4,10.9,78.7,6.8,10.7,38,179.1
1953,8,15.0,23.2,7.1,19.1,10.8,76.8,3.7,9.2,42,174.5
1953,9,13.5,22.8,5.0,16.9,10.1,43.8,4.2,10.4,52,107.2
1953,10,10.1,19.5,2.2,13.5,6.6,42.3,-3.1,7.9,55,88.4
1953,11,8.4,14.0,2.1,10.9,5.8,62.6,-3.1,11.1,50,60.8
1953,12,7.6,15.0,-0.2,10.3,4.9,51.5,-4.9,9.7,40,36.9
1954,1,4.5,13.2,-3.1,7.1,2.0,33.4,-6.7,12.7,68,44.7
1954,2,4.4,13.9,-3.7,7.1,1.6,59.3,-7.0,9.8,46,63.3
1954,3,6.2,14.3,-3.8,9.2,3.2,54.1,-6.7,11.1,46,95.3
1954,4,8.0,15.7,-0.1,12.0,3.9,14.3,-3.7,9.4,43,180.8
1954,5,10.3,17.4,2.1,14.0,6.6,95.6,-2.1,10.7,52,163.7
1954,6,12.5,21.2,5.2,16.1,8.9,38.7,0.5,10.1,39,159.3
1954,7,13.7,19.8,5.2,17.2,10.1,55.2,3.9,11.0,51,134.4
1954,8,13.5,24.0,6.2,17.4,9.7,70.8,1.7,9.0,38,157.9
1954,9,11.7,18.2,1.8,15.6,7.8,56.5,-0.6,11.1,52,161.4
1954,10,11.4,18.8,1.8,14.6,8.3,133.9,-5.1,10.6,44,73.5
1954,11,6.6,15.4,-1.1,10.1,3.2,100.9,-4.3,10.7,59,72.7
1954,12,7.3,15.1,-1.2,9.6,5.0,100.3,-3.3,15.1,61,39.5
1955,1,4.0,12.3,-5.4,6.6,1.4,86.2,-10.0,11.4,50,62.4
1955,2,2.1,12.7,-4.5,4.6,-0.3,68.1,-10.4,10.8,42,78.1
1955,3,4.2,11.8,-2.7,7.7,0.7,31.7,-9.5,8.1,43,171.7
1955,4,9.4,17.9,0.0,13.5,5.3,21.3,-6.1,8.5,40,180.8
1955,5,9.1,17.2,0.5,12.9,5.3,61.8,-1.2,11.4,49,206.9
1955,6,12.7,20.0,4.6,15.8,9.5,113.9,1.2,9.2,37,112.6
1955,7,16.1,25.9,6.9,20.5,11.7,14.1,5.7,5.0,32,305.9
1955,8,16.8,24.7,8.9,20.8,12.7,85.3,4.9,6.3,34,169.6
1955,9,13.8,22.6,6.2,17.8,9.8,47.6,4.6,10.5,43,180.2
1955,10,8.7,19.4,-0.9,12.7,4.7,25.4,-2.8,10.2,50,139.7
1955,11,8.1,14.8,0.7,10.4,5.8,45.7,-3.5,8.2,55,42.1
1955,12,6.7,13.5,0.1,9.5,4.0,108.4,-5.7,12.7,61,49.2
1956,1,3.9,11.1,-4.9,6.8,1.1,88.4,-6.3,10.3,51,62.1
1956,2,2.2,12.3,-8.2,5.1,-0.7,30.7,-9.9,10.6,55,76.6
1956,3,6.9,13.0,0.6,9.5,4.4,45.6,-6.2,13.9,55,123.6
1956,4,7.5,15.9,-0.4,11.5,3.4,47.6,-7.4,8.9,35,172.9
1956,5,11.2,20.6,0.6,15.7,6.7,16.1,-2.0,10.6,47,230.0
1956,6,12.7,23.5,2.9,16.9,8.5,53.9,-1.1,10.9,50,222.5
1956,7,14.6,23.3,7.9,17.9,11.3,98.5,6.3,9.7,50,152.5
1956,8,12.9,20.6,6.2,16.6,9.2,155.0,3.6,9.0,49,182.1
1956,9,13.4,20.3,5.2,16.1,10.7,90.3,3.4,9.5,56,82.3
1956,10,9.6,16.1,1.2,12.9,6.3,41.1,-0.9,9.1,44,111.9
1956,11,7.1,13.4,-1.1,9.5,4.8,31.5,-2.6,10.8,49,48.1
1956,12,7.0,12.9,-0.1,9.3,4.7,89.1,-6.4,13.4,60,32.6
1957,1,6.1,14.6,-1.9,9.0,3.3,52.2,-5.2,12.8,55,74.2
1957,2,5.1,11.6,-3.8,8.0,2.1,60.0,-8.2,11.4,73,108.8
1957,3,9.5,17.1,1.9,12.2,6.8,70.3,-2.0,10.7,56,77.6
1957,4,8.2,15.1,0.2,11.7,4.7,26.4,-1.6,8.7,33,154.4
1957,5,10.3,18.9,0.0,14.2,6.4,77.1,-2.2,8.9,37,228.7
1957,6,13.5,23.3,2.5,17.9,9.2,48.5,0.6,0.0,35,288.6
1957,7,15.1,22.2,8.3,18.2,12.0,86.9,7.4,9.2,38,108.7
1957,8,14.4,20.8,5.6,17.9,11.0,88.3,3.4,9.5,49,141.8
1957,9,12.0,19.4,3.0,15.4,8.7,131.7,0.7,10.8,45,114.4
1957,10,10.2,16.8,1.4,13.7,6.8,71.7,-1.2,8.5,48,91.4
1957,11,6.9,13.6,-2.7,9.3,4.6,39.3,-3.6,8.8,46,57.9
1957,12,5.7,13.4,-1.6,8.5,2.9,74.9,-5.6,11.1,52,55.9
1958,1,4.7,12.4,-7.0,7.4,2.0,40.0,-8.8,11.7,55,79.5
1958,2,5.4,13.5,-3.1,8.2,2.6,101.6,-5.3,10.4,48,62.7
1958,3,4.4,15.2,-5.0,7.1,1.6,23.4,-9.1,11.3,40,105.1
1958,4,7.8,17.1,-1.2,11.2,4.4,29.9,-5.0,9.3,43,140.8
1958,5,10.0,20.6,2.4,13.7,6.3,103.9,-0.5,8.8,39,176.9
1958,6,13.0,20.8,5.6,16.2,9.7,168.5,4.6,6.4,32,139.6
1958,7,14.6,25.1,6.1,18.0,11.3,109.5,4.6,6.1,32,147.3
1958,8,14.7,21.6,6.7,18.0,11.4,140.6,5.6,6.3,43,128.9
1958,9,14.3,19.3,5.6,17.3,11.3,128.8,4.6,7.3,48,111.3
1958,10,10.7,17.1,3.4,13.7,7.7,52.0,0.8,7.4,37,104.9
1958,11,8.1,14.8,1.0,10.6,5.5,45.4,-1.6,5.8,34,55.4
1958,12,5.4,12.2,-3.0,7.8,2.9,90.3,-6.0,8.2,49,51.2
1959,1,3.1,11.3,-4.6,5.8,0.4,47.4,-6.1,8.1,48,99.3
1959,2,6.4,13.8,-1.6,9.4,3.3,13.1,-7.0,8.3,44,69.2
1959,3,7.4,15.4,1.9,10.1,4.6,39.7,-3.9,9.4,40,112.1
1959,4,8.5,14.9,0.4,12.2,4.8,44.1,-3.4,8.7,51,152.9
1959,5,11.4,20.0,0.7,15.1,7.7,73.6,-2.0,5.7,32,236.3
1959,6,14.0,22.4,6.7,18.1,9.9,37.2,2.8,7.4,45,240.6
1959,7,15.8,24.3,7.9,19.8,11.8,45.2,5.4,6.4,38,191.6
1959,8,15.9,25.0,7.2,19.9,12.0,17.6,5.1,7.2,50,189.6
1959,9,14.3,23.5,5.5,18.3,10.3,24.3,2.9,5.4,30,181.2
1959,10,11.7,20.3,1.1,15.0,8.3,106.7,0.4,10.6,58,132.5
1959,11,7.3,14.7,-0.8,10.2,4.4,89.6,-4.2,10.2,62,79.8
1959,12,6.2,13.0,0.6,8.9,3.4,132.1,-3.3,13.3,53,54.9
1960,1,5.1,12.8,-1.4,7.7,2.5,87.4,-3.3,10.2,50,54.5
1960,2,4.1,14.6,-4.9,7.2,0.9,35.2,-6.2,10.9,48,109.0
1960,3,6.6,11.9,0.6,8.6,4.5,97.2,-1.8,12.3,44,55.5
1960,4,8.9,15.1,0.6,12.6,5.2,27.2,-2.2,10.4,59,176.5
1960,5,12.0,20.8,4.8,15.7,8.4,52.4,1.3,8.5,42,210.9
1960,6,14.6,24.9,6.1,18.9,10.4,51.1,4.1,8.3,56,241.6
1960,7,14.6,21.4,8.2,18.3,11.0,139.8,4.9,9.5,39,173.1
1960,8,14.2,21.5,6.1,17.8,10.5,86.3,4.6,7.1,34,175.2
1960,9,12.3,22.1,5.1,16.0,8.7,81.2,2.8,8.8,44,119.2
1960,10,10.1,16.7,1.2,13.1,7.1,161.3,-1.7,8.4,40,78.9
1960,11,7.1,14.0,-0.6,9.8,4.4,117.7,-6.9,10.5,67,78.1
1960,12,4.1,11.3,-2.8,6.9,1.4,95.4,-7.2,9.6,55,88.7
1961,1,4.4,12.4,-2.2,7.2,1.7,106.3,-7.2,11.1,63,46.2
1961,2,7.8,14.2,-0.3,10.5,5.0,50.8,-2.2,12.0,69,98.6
1961,3,8.8,17.8,0.5,12.4,5.1,4.0,-3.2,9.7,42,126.0
1961,4,9.4,16.1,1.6,12.5,6.3,90.4,-1.7,7.1,40,139.4
1961,5,10.7,19.7,2.8,14.4,7.1,29.6,-0.6,7.8,49,231.6
1961,6,13.4,22.1,4.7,17.4,9.4,42.4,3.3,9.1,33,165.9
1961,7,14.0,20.0,6.8,17.5,10.6,52.6,4.8,8.7,46,131.3
1961,8,14.3,22.1,7.3,18.2,10.4,47.3,2.2,10.6,42,161.1
1961,9,13.6,21.3,5.6,17.3,9.9,86.4,2.3,8.3,64,119.8
1961,10,9.8,16.7,2.1,13.1,6.5,58.8,-1.6,11.0,73,107.5
1961,11,6.8,14.8,-0.2,9.3,4.4,52.8,-4.4,10.4,43,71.3
1961,12,4.0,13.8,-10.1,7.0,1.1,57.1,-11.0,10.9,55,76.5
1962,1,4.9,12.1,-9.4,7.8,2.0,41.1,-10.9,13.5,60,69.0
1962,2,5.4,11.4,-1.6,8.1,2.7,26.7,-3.6,15.3,64,46.5
1962,3,3.5,13.3,-6.3,6.8,0.2,53.6,-9.1,9.8,56,128.8
1962,4,7.5,16.2,0.8,10.9,4.1,40.8,-3.2,10.6,47,193.3
1962,5,10.0,18.2,2.2,13.9,6.1,56.8,-1.8,9.6,45,212.5
1962,6,12.4,21.3,1.5,16.7,8.1,24.9,-1.4,10.1,55,202.8
1962,7,13.7,21.4,4.8,16.9,10.5,68.0,2.9,8.4,37,125.4
1962,8,13.7,19.9,6.9,17.3,10.0,73.1,2.9,10.4,51,161.1
1962,9,11.8,18.9,3.4,15.2,8.5,129.2,-1.1,9.0,54,87.0
1962,10,10.4,16.8,0.7,13.6,7.2,16.8,-1.6,8.4,49,120.6
1962,11,6.6,12.7,-1.6,9.0,4.2,47.9,-3.2,9.8,55,44.3
1962,12,4.8,12.8,-3.3,7.3,2.4,75.3,-6.9,13.4,71,57.3
1963,1,0.9,7.1,-6.7,2.9,-1.1,41.1,-11.0,13.0,50,58.4
1963,2,1.9,6.8,-4.6,4.1,-0.3,61.9,-7.6,13.0,52,61.1
1963,3,6.6,13.3,-1.2,9.9,3.4,65.2,-5.4,12.6,54,115.5
1963,4,7.9,16.4,-1.6,11.2,4.7,47.0,-4.4,11.6,52,111.7
1963,5,9.6,17.3,2.3,13.4,5.9,42.0,-0.6,12.2,48,183.5
1963,6,13.2,21.7,6.6,16.8,9.7,54.3,4.6,9.6,45,203.2
1963,7,13.9,22.9,6.2,17.4,10.4,23.5,2.7,7.8,35,156.6
1963,8,13.6,20.9,6.2,17.2,10.1,103.1,3.7,10.4,45,133.8
1963,9,12.2,21.1,4.0,16.0,8.4,44.9,2.4,9.6,49,148.4
1963,10,11.0,17.2,3.1,14.2,7.8,47.6,-0.6,11.8,46,82.5
1963,11,7.7,13.1,-0.3,10.5,4.9,95.9,-5.7,12.6,59,81.3
1963,12,5.0,12.0,-4.6,7.1,2.9,16.4,-7.2,12.2,49,52.8
1964,1,6.1,11.4,0.0,8.3,3.9,14.8,-3.8,9.8,50,34.4
1964,2,5.3,13.4,-3.4,7.7,2.9,28.3,-6.7,12.9,47,70.2
1964,3,5.5,11.6,-0.4,7.8,3.2,106.6,-4.9,10.5,47,65.7
1964,4,8.2,14.6,-0.3,11.6,4.9,62.3,-3.4,10.8,42,139.9
1964,5,11.9,18.6,4.7,15.6,8.1,45.4,2.8,11.1,49,189.9
1964,6,13.0,22.1,4.4,16.3,9.6,51.0,3.0,10.0,42,144.2
1964,7,15.1,21.7,5.6,18.6,11.6,47.4,3.9,9.6,47,153.9
1964,8,14.5,22.8,4.9,18.0,10.9,81.3,2.7,8.6,43,170.9
1964,9,13.6,21.1,4.3,17.1,10.2,51.7,2.4,9.6,47,151.0
1964,10,9.2,16.8,-0.4,12.3,6.1,62.3,-1.1,8.1,45,83.6
1964,11,8.0,14.4,-1.7,10.8,5.2,26.2,-5.6,10.1,48,84.9
1964,12,4.9,13.1,-2.8,7.7,2.1,111.8,-6.9,11.6,68,55.5
1965,1,3.9,12.3,-3.5,6.5,1.3,97.3,-5.6,13.0,73,69.8
1965,2,4.1,10.2,-1.6,6.6,1.7,4.7,-6.1,8.3,48,50.0
1965,3,6.0,21.3,-6.7,9.2,2.8,54.6,-7.7,11.2,49,127.4
1965,4,8.3,15.3,1.7,11.8,4.8,45.4,-4.8,11.4,60,182.5
1965,5,10.9,19.2,1.4,14.4,7.3,51.9,-2.8,9.1,44,154.1
1965,6,13.6,20.2,4.2,17.3,9.9,72.9,0.1,8.8,52,189.6
1965,7,13.1,19.4,5.2,16.5,9.7,79.2,3.4,8.4,44,133.2
1965,8,14.2,21.3,6.9,17.9,10.5,55.4,4.0,10.0,42,166.5
1965,9,11.8,20.6,4.7,15.2,8.4,67.7,-0.3,8.8,41,103.9
1965,10,11.2,17.3,3.0,14.0,8.4,41.4,0.4,8.8,48,89.7
1965,11,5.3,12.8,-2.5,7.9,2.6,182.3,-4.9,12.7,59,75.7
1965,12,5.0,13.5,-4.9,7.8,2.3,97.1,-5.4,11.7,53,76.9
1966,1,5.0,12.4,-1.8,6.5,3.5,94.6,-3.6,11.8,51,25.2
1966,2,6.4,13.1,0.7,8.4,4.4,114.5,0.5,13.1,50,54.9
1966,3,7.2,13.8,-2.1,10.7,3.8,40.2,-5.8,12.1,55,125.0
1966,4,7.0,17.2,-0.5,9.6,4.3,151.8,-5.4,12.7,45,103.3
1966,5,10.8,22.3,3.0,14.9,6.7,52.3,-0.1,9.4,56,246.3
1966,6,14.3,23.1,8.3,17.7,10.9,119.5,6.3,7.8,40,146.3
1966,7,14.4,23.5,6.5,18.4,10.3,37.1,4.8,8.2,34,184.5
1966,8,14.2,22.4,6.1,17.8,10.6,56.5,3.2,7.3,45,156.9
1966,9,14.1,21.5,5.1,17.6,10.5,61.3,2.2,7.4,43,141.5
1966,10,9.2,16.7,0.6,12.5,5.9,132.9,-0.5,8.0,40,108.5
1966,11,5.6,12.2,-1.8,8.4,2.9,43.3,-2.7,11.7,51,69.5
1966,12,5.9,12.4,-1.5,9.2,2.7,115.1,-2.8,14.2,68,59.9
